record_id,timestamp_utc,local_delta,validation_status,should_submit
experiment_00114,2026-04-28T22:09:54Z,,passed,True
experiment_00115,2026-04-28T22:11:19Z,,passed,True
experiment_00116,2026-04-28T22:20:11Z,,passed,True
experiment_00117,2026-04-28T22:27:13Z,,passed,True
experiment_00118,2026-04-28T22:27:50Z,,passed,True
experiment_00119,2026-04-28T22:36:01Z,,passed,True
experiment_00120,2026-04-28T22:39:28Z,,passed,True
experiment_00121,2026-04-28T22:41:28Z,,passed,True
experiment_00122,2026-04-28T22:43:33Z,,passed,True
experiment_00123,2026-04-28T22:44:53Z,,passed,True
experiment_00124,2026-04-28T22:47:04Z,,passed,True
experiment_00125,2026-04-28T22:48:56Z,,passed,True
experiment_00126,2026-04-28T22:50:52Z,,passed,True
experiment_00127,2026-04-28T22:52:50Z,,passed,True
experiment_00128,,,,
experiment_00129,2026-04-28T23:27:51Z,,passed,
experiment_00130,2026-04-28T23:39:24Z,230.7807382455867,passed,
experiment_00131,2026-04-28T23:44:01Z,9.504348754073362,passed,
experiment_00132,2026-04-28T23:48:09Z,15.657332398869585,passed,
experiment_00133,2026-04-29T00:05:05Z,,passed,True
experiment_00134,2026-04-29T00:17:53Z,,passed,True
experiment_00135,2026-04-29T00:24:27Z,,passed,True
experiment_00136,2026-04-29T00:32:39Z,,built_pending_full_public_validation,
experiment_00137,2026-04-29T00:44:54Z,,passed,True
experiment_00138,2026-04-29T00:51:32Z,,passed,
experiment_00139,2026-04-29T00:51:32Z,,passed,
experiment_00140,2026-04-29T00:51:32Z,,passed,
experiment_00141,2026-04-29T00:51:32Z,,passed,
experiment_00142,2026-04-29T00:51:32Z,,passed,
experiment_00143,2026-04-29T01:06:17Z,,,
experiment_00144,2026-04-29T01:24:34Z,,pending,
experiment_00145,2026-04-29T01:31:25Z,,pending,
experiment_00146,2026-04-29T01:31:25Z,,pending,
experiment_00147,2026-04-29T01:31:26Z,,pending,
experiment_00148,2026-04-29T01:31:27Z,,pending,
experiment_00149,2026-04-29T01:31:27Z,,pending,
experiment_00150,2026-04-29T01:39:10Z,,pending,
experiment_00151,2026-04-29T01:39:11Z,,pending,
experiment_00152,2026-04-29T01:39:12Z,,pending,
experiment_00153,2026-04-29T01:39:12Z,,pending,
experiment_00154,2026-04-29T01:39:13Z,,pending,
experiment_00155,2026-04-29T01:39:14Z,,pending,
experiment_00156,2026-04-29T01:39:15Z,,pending,
experiment_00157,2026-04-29T01:39:15Z,,pending,
experiment_00158,2026-04-29T01:39:16Z,,pending,
experiment_00159,2026-04-29T01:39:17Z,,pending,
experiment_00160,2026-04-29T01:39:17Z,,pending,
experiment_00161,2026-04-29T01:39:19Z,,pending,
experiment_00162,2026-04-29T01:39:20Z,,pending,
experiment_00163,2026-04-29T01:39:20Z,,pending,
experiment_00164,2026-04-29T01:39:21Z,,pending,
